Date,Open,High,Low,Close,Volume
29-Jan-14,116.14,116.89,115.71,116.00,5524394
28-Jan-14,116.72,117.03,116.07,116.84,4306359
27-Jan-14,116.26,117.25,115.88,116.43,6180141
24-Jan-14,117.87,118.14,116.26,116.29,7131317
23-Jan-14,119.84,119.85,118.26,118.39,6209880
22-Jan-14,120.51,120.76,119.97,120.43,4977592
21-Jan-14,120.74,120.89,119.51,120.36,5602368
17-Jan-14,119.03,120.38,118.74,119.29,7210045
16-Jan-14,119.11,119.29,118.19,118.83,5042417
15-Jan-14,119.69,120.07,119.05,119.18,5830002
14-Jan-14,119.40,119.75,118.80,119.57,6904684
13-Jan-14,120.81,120.90,119.01,119.25,6512504
10-Jan-14,122.50,122.84,120.37,121.01,8134559
9-Jan-14,123.42,123.42,122.02,123.29,5646335
8-Jan-14,124.44,124.46,122.75,123.29,8286511
7-Jan-14,124.42,125.32,123.65,125.07,4567467
6-Jan-14,124.59,124.80,123.52,124.02,4254928
3-Jan-14,124.60,124.89,123.86,124.35,3506119
2-Jan-14,124.46,124.88,123.71,124.14,4540472
